MES,DIA,DANE,TIPOJUEGO,NOMBRE_LOTERIA,NOMBRE_MODALIDAD,NUMEROAPOSTADO,EDAD,GENERO,VALORAPOSTADO,JORNADA
1,30,nóvita,chance,huila,cuatro cifras directo,3333,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,9999,59,f,60,Mañana
1,30,quibdó,dobleacierto 4c 1000,cafetero dia,dobleacierto 4cif 1000,1270,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cafetero dia,dobleacierto 4cif 1000,1701,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cafetero dia,dobleacierto 4cif 1000,2009,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cafetero dia,dobleacierto 4cif 1000,2200,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cafetero dia,dobleacierto 4cif 1000,7575,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,chontico dia,dobleacierto 4cif 1000,1270,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,chontico dia,dobleacierto 4cif 1000,1701,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,chontico dia,dobleacierto 4cif 1000,2009,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,chontico dia,dobleacierto 4cif 1000,2200,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,chontico dia,dobleacierto 4cif 1000,7575,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,pijao,dobleacierto 4cif 1000,1270,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,pijao,dobleacierto 4cif 1000,1701,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,pijao,dobleacierto 4cif 1000,2009,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,pijao,dobleacierto 4cif 1000,2200,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,pijao,dobleacierto 4cif 1000,7575,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cruz roja,dobleacierto 4cif 1000,1270,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cruz roja,dobleacierto 4cif 1000,1701,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cruz roja,dobleacierto 4cif 1000,2009,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cruz roja,dobleacierto 4cif 1000,2200,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,cruz roja,dobleacierto 4cif 1000,7575,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,huila,dobleacierto 4cif 1000,1270,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,huila,dobleacierto 4cif 1000,1701,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,huila,dobleacierto 4cif 1000,2009,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,huila,dobleacierto 4cif 1000,2200,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 1000,huila,dobleacierto 4cif 1000,7575,44,m,100,Mañana
1,30,quibdó,dobleacierto 4c 2500,cruz roja,dobleacierto 4cif 2500,1270,44,m,250,Mañana
1,30,quibdó,dobleacierto 4c 2500,cruz roja,dobleacierto 4cif 2500,1701,44,m,250,Mañana
1,30,quibdó,dobleacierto 4c 2500,cruz roja,dobleacierto 4cif 2500,2009,44,m,250,Mañana
1,30,quibdó,dobleacierto 4c 2500,cruz roja,dobleacierto 4cif 2500,2200,44,m,250,Mañana
1,30,quibdó,dobleacierto 4c 2500,cruz roja,dobleacierto 4cif 2500,7575,44,m,250,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0319,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0328,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0723,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0823,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0924,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1212,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1328,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1723,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1924,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,4723,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,7023,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,7328,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0319,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0328,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0723,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0823,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0924,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1212,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1328,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1723,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1924,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,4723,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,7023,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,7328,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0000,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0105,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0524,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1103,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1212,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,1924,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,3101,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,4444,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,5555,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,6666,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,7777,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,8888,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0000,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0105,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,0524,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1103,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1212,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,1924,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,3101,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,4444,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,5555,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,6666,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,7777,59,f,60,Mañana
1,30,nóvita,chance,huila,cuatro cifras directo,8888,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0124,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0126,59,f,60,Mañana
1,30,nóvita,chance,cruz roja,cuatro cifras directo,0131,59,f,60,Mañana
