MES,DIA,HORA,DANE,TIPOJUEGO,NOMBRE_LOTERIA,NOMBRE_MODALIDAD,NUMEROAPOSTADO,EDAD,GENERO,GANADOR,VALORAPOSTADO
Enero     ,30,06:58:58,Nóvita,chance,HUILA,CUATRO CIFRAS DIRECTO,RES: 3333,59,F,no,60
Enero     ,30,06:58:58,Nóvita,chance,HUILA,CUATRO CIFRAS DIRECTO,RES: 9999,59,F,no,60
Enero     ,30,06:28:04,Quibdó,DOBLEACIERTO 4C 1000,CAFETERO DIA,DOBLEACIERTO 4CIF 1000,RES: 1270,44,M,no,100
Enero     ,30,06:28:04,Quibdó,DOBLEACIERTO 4C 1000,CAFETERO DIA,DOBLEACIERTO 4CIF 1000,RES: 1701,44,M,no,100
Enero     ,30,06:28:04,Quibdó,DOBLEACIERTO 4C 1000,CAFETERO DIA,DOBLEACIERTO 4CIF 1000,RES: 2009,44,M,no,100
Enero     ,30,06:28:04,Quibdó,DOBLEACIERTO 4C 1000,CAFETERO DIA,DOBLEACIERTO 4CIF 1000,RES: 2200,44,M,no,100
Enero     ,30,06:28:04,Quibdó,DOBLEACIERTO 4C 1000,CAFETERO DIA,DOBLEACIERTO 4CIF 1000,RES: 7575,44,M,no,100
Enero     ,30,06:28:18,Quibdó,DOBLEACIERTO 4C 1000,CHONTICO DIA,DOBLEACIERTO 4CIF 1000,RES: 1270,44,M,no,100
Enero     ,30,06:28:18,Quibdó,DOBLEACIERTO 4C 1000,CHONTICO DIA,DOBLEACIERTO 4CIF 1000,RES: 1701,44,M,no,100
Enero     ,30,06:28:18,Quibdó,DOBLEACIERTO 4C 1000,CHONTICO DIA,DOBLEACIERTO 4CIF 1000,RES: 2009,44,M,no,100
Enero     ,30,06:28:18,Quibdó,DOBLEACIERTO 4C 1000,CHONTICO DIA,DOBLEACIERTO 4CIF 1000,RES: 2200,44,M,no,100
Enero     ,30,06:28:18,Quibdó,DOBLEACIERTO 4C 1000,CHONTICO DIA,DOBLEACIERTO 4CIF 1000,RES: 7575,44,M,no,100
